Hole_ID,Depth_From,Depth_To,Mg_ppm,Al_ppm,Si_ppm,P_ppm,K_ppm,Ca_ppm,Ti_ppm,V_ppm,Cr_ppm,Mn_ppm,Fe_ppm,Ni_ppm,Cu_ppm,Zn_ppm,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,Mo_ppm,Pb_ppm,LE_ppm
MSDP01,493.2,494.2,19619.56,70371.57,368855.97,990.65,45424.84,17976.24,5720.02,131.99,111.56,1565.26,31398.64,11.11,4.17090769248295,256.27,184.11,79.11,48.79,369.29,38.17,10.52,10.27,436717.13
MSDP01,494.2,495.2,18685.61,68525.06,363347.5,967.05,44676.94,16574.08,5710.96,134.53,107.32,1511.07,28719.11,6.47115924378319,4.2965750127170805,141.62,183.87,82.0,50.18,372.32,37.66,9.51,11.81,450027.52
MSDP01,495.2,496.2,18765.52,70053.79,369282.03,1021.11,44940.45,14666.77,5674.04,130.97,115.15,1320.8,28911.28,12.09,3.94482650073644,113.5,183.97,80.79,50.56,371.0,35.83,7.87,11.66,444165.44
MSDP01,496.2,497.8,17286.28,68992.37,373044.69,992.94,46069.4,13351.35,5623.3,150.48,86.21,1197.38,30089.99,6.3208265260253205,4.0583931531288,133.55,185.45,79.03,49.82,370.33,34.83,8.12,11.23,442143.63
MSDP01,497.8,498.8,17959.03,67378.45,365322.34,967.71,45885.44,12066.09,5592.26,151.51,32.049092179327104,1101.06,31152.93,6.26405054654428,4.51341495457951,363.5,189.43,79.5,48.65,380.78,36.08,8.92,10.53,451194.96
MSDP01,498.8,499.8,14599.47,70231.94,372626.86,994.54,46349.82,10953.86,5842.77,142.67,113.63,1015.96,33924.83,6.396536467686241,4.50745241948373,321.82,186.7,78.08,50.29,373.92,38.0,10.89,12.21,442049.89
MSDP01,499.8,500.8,17572.94,70904.95,377744.47,952.18,46412.14,10476.58,5846.5,147.08,141.06,954.66,31816.07,14.99,4.13528838339263,139.36,188.48,74.54,48.88,370.92,36.74,9.01,10.59,436054.04
MSDP01,500.8,501.8,15465.52,70290.5,373081.16,987.95,46424.29,10409.55,5783.87,150.67,99.63,957.12,30019.1,11.3,4.08638718999757,168.93,190.18,71.74,49.08,368.92,37.62,7.74,9.71,445320.66
MSDP01,501.8,502.8,14596.1,69987.92,376585.96,973.09,46891.62,10582.15,5614.7,159.33,68.44,964.04,28515.71,10.71,4.19750751329015,229.67,189.05,75.45,50.14,364.05,36.27,8.79,10.05,444002.84
MSDP01,502.8,503.8,15600.96,69214.14,376274.64,989.72,46939.3,10936.31,5700.06,154.37,65.09,993.01,27167.81,14.19,4.10340777294893,85.2,196.07,78.56,46.46,365.14,37.16,5.44,9.86,445001.89
MSDP01,503.8,504.8,14438.59,68200.35,377377.94,1012.89,46542.15,11118.18,5456.23,149.88,49.06,1033.28,24715.22,15.99,11.05,84.42,194.66,80.87,47.21,360.14,35.14,4.05,11.07,448917.97
MSDP01,504.8,505.8,19736.01,71387.39,373718.36,1062.95,46553.89,11955.26,6447.28,159.17,125.92,1143.09,34463.75,13.45,10.95,779.9,186.17,81.82,51.02,381.36,37.98,9.38,11.48,431531.04
MSDP01,505.8,506.8,18012.39,69491.44,372058.31,966.21,45630.83,13361.6,5700.42,147.79,97.18,1245.94,31689.28,13.95,4.41806796412928,235.99,191.32,81.14,48.32,369.72,36.0,10.67,13.4,440494.33
MSDP01,506.8,507.8,19477.98,67174.89,369087.61,1033.86,44389.14,17407.38,5631.9,141.27,106.84,1552.23,26864.19,8.53,3.7067988736614903,127.83,187.68,81.64,47.21,360.3,34.86,7.34,11.52,446178.42
MSDP01,507.8,508.8,18254.54,68687.04,376541.07,950.32,45237.81,12708.44,5539.3,133.21,94.26,1265.92,26903.03,10.27,3.94421591431894,180.24,191.85,84.59,48.79,364.46,32.71,8.17,10.51,442664.46
MSDP01,508.8,509.8,17421.63,68400.77,376208.54,1047.48,44943.29,11484.68,5317.28,138.72,78.02,1140.89,27159.84,6.3466969818353,4.03879069298645,145.8,193.52,89.8,47.33,369.62,35.73,6.72,9.37,445677.2
MSDP01,509.8,510.8,16086.09,68182.95,373939.36,955.21,44944.64,12828.28,5367.98,142.02,84.93,1193.73,26599.24,8.78,4.10304864505587,420.57,190.03,86.71,47.54,366.03,34.92,6.15,10.1,448418.18
MSDP01,510.8,511.8,16423.81,69808.92,373212.38,931.75,45431.81,11610.94,5517.9,153.92,114.64,1162.48,29488.15,12.58,4.21149226675385,251.3,190.69,81.98,48.5,365.9,35.5,7.44,10.19,445056.22
MSDP01,511.8,512.8,16049.45,68895.06,372138.92,945.29,45769.5,11443.92,5771.34,151.51,83.61,1159.93,29476.87,11.18,4.25737092734576,208.88,194.53,82.73,50.18,378.03,38.76,8.37,10.89,447041.13
MSDP01,512.8,513.8,16338.22,69966.78,374697.08,936.68,45476.67,10798.34,5542.38,152.05,80.45,1041.88,28787.9,17.0,4.31187785775807,132.17,192.05,85.55,48.95,374.03,37.75,5.73,9.71,445190.21
MSDP01,513.8,514.63,18340.49,69737.88,376104.75,964.45,45757.92,10435.91,5474.9,142.66,66.57,1023.71,28434.92,6.25510628985482,3.9756417429568,150.88,192.72,90.1,51.49,373.01,34.33,6.57,9.37,442524.75
MSDP01,514.63,515.46,15095.6,69689.8,369085.81,892.33,45660.38,9906.44,5523.65,151.35,74.09,990.8,28972.89,6.2846277057807605,4.2022887580825605,189.45,198.81,94.14,50.54,385.57,35.69,6.55,9.64,452904.8
MSDP01,515.46,516.29,15744.29,68759.56,367706.39,887.05,45629.03,9827.67,5438.38,152.04,84.33,913.71,28575.88,6.354674973692861,4.173023834319101,137.28,201.17,97.69,49.33,378.21,34.67,9.35,8.86,455265.85
MSDP01,516.3,516.8,15569.9,70432.81,370664.35,915.73,46142.65,9956.0,5465.01,148.25,82.66,959.78,30368.69,15.69,21.35,647.67,198.12,92.89,51.44,374.46,34.89,9.54,11.74,447698.7
MSDP01,516.8,517.8,17200.18,68828.34,356710.05,1028.42,44689.03,11692.0,6187.86,151.93,120.15,1219.74,39040.69,10.01,4.61467349253747,597.61,192.63,82.74,51.65,379.38,40.05,13.59,10.77,451623.86
MSDP01,517.8,518.3,19859.51,69612.66,366588.41,1061.41,45002.11,10945.21,5830.97,162.74,180.12,1074.91,38710.17,11.46,4.40630745504394,620.12,188.24,87.22,51.12,377.61,36.42,16.94,11.4,439410.96
MSDP01,518.3,519.8,15264.92,70444.97,364328.3,926.16,46468.08,9979.84,5466.04,139.81,128.11,969.82,33993.86,11.4,12.02,277.13,199.73,88.97,49.93,375.76,35.35,12.83,11.35,450625.13
MSDP01,519.8,520.5,15482.9,71141.88,365202.62,841.88,47346.73,9744.29,5329.77,160.01,113.66,920.29,32043.43,12.11,8.85,170.16,203.94,96.25,46.93,376.87,35.54,8.01,9.63,450541.22
MSDP01,520.5,521.3,18593.12,70680.44,366281.63,967.8,48433.41,9798.56,5368.98,145.03,102.78,879.3,32632.68,14.87,12.07,145.72,209.16,100.61,50.09,383.04,36.68,9.66,10.21,445007.44
MSDP01,521.3,522.3,14411.32,71687.14,363021.43,902.62,48079.19,9626.86,5640.99,134.5,132.59,877.41,34979.93,13.87,4.32622674169297,125.5,211.1,98.6,49.05,388.74,36.7,9.16,11.86,449433.3
MSDP01,522.3,522.53,16934.13,73606.28,365018.56,931.26,48381.11,9890.3,5720.98,152.4,130.71,956.66,37327.05,10.38,9.8,319.88,209.09,92.51,51.62,390.43,37.8,9.84,12.01,439664.27
MSDP01,522.53,522.76,18121.37,71832.11,361788.94,969.59,47465.67,10273.29,5859.42,136.47,154.05,1016.22,40241.38,18.3,4.80329604076329,418.66,203.15,88.69,53.78,390.86,40.04,12.86,11.86,440753.27
MSDP01,522.76,522.99,17277.77,74352.84,366651.85,957.19,47653.97,9632.68,5891.27,145.34,143.49,991.78,37456.29,12.53,4.36451672242762,273.37,209.58,92.75,51.61,391.23,39.76,12.45,11.92,437614.65
MSDP01,523.0,523.4,13137.13,73353.47,362477.03,1023.78,48003.61,9139.9,5733.01,161.48,133.7,951.58,37476.47,18.47,4.66337698822794,211.14,213.53,93.19,52.74,401.07,37.4,13.77,10.61,447229.63
MSDP01,523.4,523.6,18816.81,72662.95,359405.44,980.96,47315.26,9228.85,5872.89,149.51,122.43,972.01,37211.01,11.33,4.2416766492482205,241.42,214.51,91.81,54.73,403.42,37.76,10.81,10.97,446045.34
MSDP01,523.6,524.6,19037.79,74121.21,352465.5,1112.31,44927.7,11620.02,5789.1,134.36,295.78,1207.46,69884.26,12.55,24.95,2151.33,192.28,93.16,51.13,376.25,36.03,32.1,18.26,416251.46
MSDP01,524.6,525.6,19933.01,73672.36,357181.73,968.9,46332.25,11071.66,5449.42,146.74,268.59,1043.88,55692.23,20.65,18.09,1755.68,204.33,104.3,48.66,368.9,34.44,28.6,18.03,425462.26
MSDP01,525.6,526.6,19482.44,71950.33,356759.44,882.63,46907.38,9837.51,5138.8,156.46,232.26,856.95,47075.2,11.1,4.86297128531665,2296.75,214.38,115.68,46.18,361.27,33.53,22.85,18.09,437420.23
MSDP01,526.6,527.6,16217.36,72366.48,358244.94,941.01,47558.89,10701.01,5308.7,139.59,250.72,923.02,45655.85,15.65,4.93748499232057,1181.06,213.33,113.81,48.22,367.06,35.0,20.27,10.81,439541.74
MSDP01,527.6,528.6,15081.68,74841.69,356171.93,984.56,46943.14,11188.48,5325.1,164.44,256.48,1016.14,48822.07,10.0,4.81102232931012,2140.79,206.98,111.11,51.19,376.92,34.0,19.77,22.02,436087.13
MSDP01,528.6,529.6,18411.81,73104.83,355323.31,984.66,46547.65,9717.32,5218.2,168.98,281.44,952.14,50565.51,16.59,4.95026367718624,1461.15,205.14,110.01,49.69,365.59,32.31,27.37,16.11,436336.38
MSDP01,529.6,530.6,15558.58,74122.84,362872.71,941.1,47492.53,7983.72,4982.83,149.7,206.79,834.6,45443.15,14.14,4.8111546511761105,1390.19,204.86,109.96,50.07,376.46,33.8,20.59,13.52,437060.95
MSDP01,530.6,531.6,18240.53,73907.46,354692.57,884.16,47278.41,7525.08,5184.02,132.18,214.45,758.16,44363.76,14.54,4.856053453589401,1340.46,207.72,115.01,51.04,380.02,35.52,20.38,12.88,444534.48
MSDP01,531.6,532.6,18831.05,74149.67,357489.42,1010.48,47424.31,7472.27,5210.64,135.43,211.79,801.89,44844.28,9.43,4.380973041469,1025.59,208.29,118.04,51.42,389.51,36.28,20.97,10.61,440419.15
MSDP01,532.6,533.6,19065.61,73935.39,358636.56,983.73,47080.29,8033.86,5316.46,149.7,178.2,873.82,43167.82,16.35,5.0285689451594004,2879.47,204.12,110.36,51.35,387.34,35.04,17.97,14.74,438705.17
MSDP01,533.6,534.8,16282.67,75878.29,359085.51,1056.97,47216.32,9213.53,5797.08,145.0,219.38,961.77,46267.67,12.66,4.71014458409207,1159.85,205.23,109.26,52.65,398.12,35.45,17.53,13.66,435734.67
MSDP01,534.8,535.8,15708.74,72139.4,347326.65,1121.49,45247.57,10884.45,5934.79,147.67,234.63,1128.15,51280.25,14.93,4.986171170743679,935.44,196.12,106.16,53.39,389.23,36.91,24.44,14.29,446946.61
MSDP01,535.8,536.8,18631.39,73296.5,350883.13,960.46,45884.69,9446.57,5734.47,147.94,174.21,992.47,43879.72,14.1,4.83263950231583,1030.0,199.96,115.86,50.0,389.95,35.08,19.42,14.59,447988.46
MSDP01,536.8,537.8,23993.79,75689.08,359019.65,1057.92,47217.31,8771.0,5736.1,168.29,188.52,968.12,43106.16,17.93,4.57426972931043,681.71,204.28,122.84,51.36,391.81,34.03,17.25,11.91,432443.93
MSDP01,537.8,538.8,19424.81,72174.16,348558.43,990.07,46077.35,8255.26,5616.66,168.41,171.22,978.91,42455.42,12.04,4.5387754582433795,650.53,201.95,121.81,54.02,387.81,35.87,17.84,10.69,453519.05
MSDP01,538.8,539.8,19358.03,76611.03,362310.6,1009.1,46963.93,7455.2,5133.1,147.89,219.9,877.84,42272.13,19.77,4.58118256340611,615.71,203.77,121.25,49.09,377.64,31.58,18.3,9.61,436081.41
MSDP01,539.8,540.8,17545.06,74887.43,360599.49,1034.17,46827.72,7997.9,5457.32,164.53,179.7,874.78,41038.79,14.1,4.79328063643141,1422.22,201.66,119.42,49.65,375.05,33.88,18.59,16.95,441009.95
MSDP01,540.8,541.8,16003.39,74807.91,367405.62,959.77,47356.03,7489.79,5306.59,150.74,163.56,825.85,35745.22,12.76,4.408429635941309,620.47,206.17,117.99,49.75,372.33,34.65,11.03,9.6,442266.66
MSDP01,541.8,542.8,20018.48,74170.71,362445.52,1019.19,46865.24,7800.95,5381.62,149.39,199.1,916.07,40665.85,18.51,4.57025231116945,495.66,202.89,114.71,50.99,376.85,32.4,17.26,10.42,438950.98
MSDP01,542.8,543.8,18235.28,75033.95,357249.33,1027.6,47309.58,8214.99,5433.33,150.43,255.46,952.62,43290.13,14.52,4.5146282150779005,453.04,204.76,120.24,51.42,385.31,34.28,21.29,17.78,441433.54
MSDP01,543.8,544.3,16152.26,72251.25,357360.48,973.28,47669.06,8087.92,5437.24,166.53,178.1,942.67,40748.92,12.76,4.49487855275696,343.75,213.48,121.99,50.6,382.62,36.34,18.87,12.74,448742.39
MSDP01,544.3,544.8,18448.57,72526.96,354070.55,970.6,47519.59,8984.59,5379.83,158.66,165.12,946.19,36580.11,12.74,4.35043951275465,312.2,213.11,115.79,50.87,381.34,34.32,15.71,12.08,452968.74
MSDP01,544.8,545.8,16920.2,72718.74,360453.74,967.76,48078.6,9774.05,5518.91,143.51,140.79,1011.48,36441.49,16.85,4.61765195462209,274.68,217.12,112.08,51.06,382.99,36.23,12.47,11.71,446588.15
MSDP01,545.8,546.8,18832.37,75203.13,359723.96,1010.02,48320.37,9764.03,5870.73,163.66,187.72,1005.71,42256.55,17.48,4.8373966889662094,918.33,217.62,104.48,53.4,403.14,37.45,16.73,12.7,435774.13
MSDP01,546.8,547.8,20111.1,74746.17,352547.86,1164.47,46926.03,10320.76,6471.79,163.41,228.27,1129.59,52200.31,20.91,12.16,1041.14,204.87,107.54,56.16,421.27,41.3,24.65,16.41,431936.32
MSDP01,547.8,548.8,17266.26,75257.56,357675.53,1092.72,48106.35,9735.03,5867.2,160.4,238.1,1089.71,50147.26,15.07,4.70983386465709,643.18,209.84,101.1,56.18,412.98,37.23,24.6,14.4,431737.69
MSDP01,548.8,549.8,17167.38,72719.99,356214.54,960.35,48101.77,8956.62,5556.82,165.83,173.98,960.61,38716.01,11.39,4.22691157397067,369.19,212.75,97.83,51.16,399.47,34.41,13.17,9.39,449009.93
MSDP01,549.8,550.76,15966.45,72741.48,358852.4,930.44,48177.74,9250.63,5539.9,165.74,143.08,937.97,36391.48,8.83,4.0804549606892,324.71,214.3,98.46,52.2,399.69,35.77,13.0,10.14,449650.93
MSDP01,550.76,551.73,18076.47,73385.54,362552.75,943.27,48405.46,9742.45,5504.19,171.21,136.87,962.17,35059.54,6.56671417193279,4.3482877327684,226.39,216.25,96.04,52.71,404.62,34.23,11.07,11.1,443883.63
MSDP01,551.73,552.7,13265.64,72853.99,357862.66,968.38,46638.22,9720.05,5373.01,146.42,134.71,989.08,36380.47,6.43970726791682,4.4098245973245005,233.46,212.1,94.09,52.92,405.7,35.68,11.4,8.48,454492.06
MSDP01,552.7,553.73,19535.66,74942.24,353749.15,1029.19,46633.54,9752.86,5934.35,185.73,150.52,1067.92,44058.86,13.79,4.6883385746353,954.19,211.25,94.38,55.59,415.17,35.82,17.42,12.96,441022.66
MSDP01,553.73,554.76,18408.31,73645.49,359132.81,1051.58,46341.94,9956.1,5635.17,143.02,201.71,1029.87,40625.51,6.67037085756093,4.71611951516383,536.12,207.06,93.45,53.92,410.76,36.04,13.2,10.64,442344.14
MSDP01,554.76,555.79,16085.0,73392.95,361954.84,1016.65,46483.21,9757.02,5339.1,154.39,199.98,988.05,40514.32,12.35,4.33801658629852,431.66,208.02,94.81,52.0,404.69,35.41,16.9,10.32,442709.93
MSDP01,555.79,556.8,15831.4,73656.21,363921.35,994.71,47818.65,8909.82,5215.68,156.17,194.15,890.91,36457.37,17.4,12.68,433.01,218.91,97.13,52.71,401.25,34.2,13.38,11.04,444530.36
MSDP01,556.8,557.8,20709.82,74899.17,363440.16,1016.65,48632.69,8522.98,5664.68,159.69,167.12,939.42,38405.31,11.45,3.98019559287513,245.69,227.56,120.97,49.44,405.33,34.65,11.63,10.0,436196.29
MSDP01,557.8,558.8,17048.27,74374.46,358296.86,1058.51,48399.86,8742.6,5432.36,143.16,136.61,938.26,38575.21,13.06,4.34032608319661,274.98,229.04,121.31,52.13,402.91,34.14,12.39,10.49,445575.25
MSDP01,558.8,559.8,15205.96,67660.62,336680.93,944.89,47657.99,8818.77,5605.0,151.11,141.35,954.94,38398.14,11.22,4.83217718934657,638.51,230.49,146.06,55.43,412.04,37.66,16.45,10.96,476091.74
MSDP01,559.8,560.8,18436.84,75488.98,359729.93,1045.57,48749.22,8881.18,5882.94,158.72,129.15,1013.15,40591.55,10.33,4.30769204188396,485.2,225.42,142.53,50.98,412.99,37.5,14.22,9.8,438396.19
MSDP01,560.8,561.8,20957.19,74707.31,366388.79,1011.16,48930.8,8260.07,5842.14,146.14,158.29,912.44,37175.25,15.21,4.3560148212616,330.44,226.24,153.28,53.58,404.06,35.75,12.52,8.93,434160.89
MSDP01,561.8,562.8,19225.46,76347.33,371610.92,1026.38,49215.77,7785.04,5755.62,147.07,114.73,917.17,35597.48,16.0,4.30526932006153,244.25,225.94,152.33,52.26,407.34,35.03,10.56,9.87,430962.96
MSDP01,562.8,563.8,14394.02,74552.13,362113.62,1027.08,48717.26,7872.4,5793.94,162.32,127.54,911.58,37291.41,6.545674810766901,4.43645708339823,182.74,218.56,134.8,54.18,413.88,40.8,9.95,8.58,445844.13
MSDP01,563.8,564.8,14586.38,74689.74,359400.84,1087.81,47484.41,8438.26,5735.34,153.84,174.04,933.87,40627.53,9.88,4.14045352175986,327.84,206.91,113.9,55.04,411.72,36.49,14.87,8.68,445383.6
MSDP01,564.8,565.8,21016.0,75649.9,348085.54,1189.68,45402.27,10368.64,6643.1,147.72,245.01,1191.27,55166.13,14.56,4.68404849645536,661.27,202.61,105.95,59.3,443.43,40.45,22.18,11.91,433203.56
MSDP01,565.8,566.8,19828.2,77600.16,355002.58,1109.47,45821.46,9171.55,5915.89,156.49,222.97,1057.57,51863.02,15.78,17.45,481.43,198.63,98.92,56.27,423.76,36.44,23.25,15.63,430686.28
MSDP01,566.8,567.8,18610.46,75893.31,358075.04,969.13,45633.41,9935.23,4894.2,141.3,180.98,1030.85,42497.66,12.25,4.20619135406538,373.18,199.97,91.28,52.62,391.22,33.29,17.99,11.36,440810.35
MSDP01,567.8,568.8,14849.39,75168.73,363106.67,909.68,46202.28,9585.23,5297.1,138.65,138.38,969.67,37714.13,14.32,10.19,522.01,199.15,88.23,53.88,399.53,32.84,13.29,10.63,444413.72
MSDP01,568.8,569.8,15508.35,73602.26,357677.73,942.87,45684.02,10426.05,5140.38,141.52,215.32,1031.08,41117.82,16.56,4.521800803244231,366.18,197.57,86.41,54.05,401.98,33.49,16.37,10.91,447180.37
MSDP01,569.8,570.8,16993.79,75142.35,362476.59,995.96,47090.75,9094.25,5460.07,150.22,151.47,970.93,40526.58,21.89,4.602607727385291,236.51,206.12,93.93,53.94,408.66,35.37,15.21,10.41,439730.86
MSDP01,570.8,571.2,17168.58,70411.95,336580.1,984.71,43983.88,9162.36,6206.89,148.48,184.18,1090.55,47406.18,13.4,4.8934345908433805,749.75,202.86,102.17,55.76,427.67,40.6,17.23,11.25,464905.85
MSDP01,571.2,572.0,18915.29,70437.15,350699.53,1044.99,47162.76,9034.47,5323.86,165.6,117.2,925.48,38328.36,12.87,15.66,554.3,204.22,100.69,52.0,390.46,34.0,11.28,10.88,456315.46
MSDP01,572.0,572.8,14891.22,70609.5,350802.37,1034.14,47737.17,9232.29,5378.09,145.97,167.06,933.35,37466.58,11.65,4.486344380096059,499.98,213.24,109.03,51.97,401.72,34.36,13.19,10.59,460134.98
MSDP01,572.8,573.8,16367.58,73239.82,363849.31,1042.29,49728.7,9853.76,5497.32,167.89,104.61,917.03,34938.01,6.4611900692243305,4.398633734292809,298.91,219.15,110.27,52.31,413.42,37.19,10.02,12.32,443013.71
MSDP01,573.8,575.3,16925.24,72046.98,358770.31,1035.12,48675.55,10924.51,5595.46,161.23,150.62,971.99,38745.12,10.32,4.184816600921001,315.11,214.33,105.78,54.51,406.55,35.25,14.31,9.81,444726.63
MSDP01,575.3,576.8,17620.42,72567.47,359002.81,1011.75,47554.07,13208.02,5717.34,168.69,172.28,1187.79,39399.04,6.639094766347691,4.6263923510626395,417.36,206.63,97.64,54.03,412.83,36.16,10.06,10.29,441028.66
MSDP01,576.8,578.51,19844.97,71415.54,355904.31,980.34,46419.14,11722.21,5542.77,166.87,166.36,1066.33,40646.04,16.15,4.69668972716488,683.58,200.61,95.36,51.46,401.19,37.5,13.32,13.2,444492.54
MSDP01,578.51,579.37,15632.97,67225.88,345092.65,931.66,44763.36,11102.59,5665.92,134.02,149.88,1026.81,42704.99,9.33,4.54819306479098,468.51,196.73,91.84,51.5,406.54,38.24,16.91,9.99,464177.16
MSDP01,579.37,579.8,13057.69,68725.12,365322.1,1091.82,45694.9,11141.89,6120.91,147.82,154.07,978.5,37304.05,12.06,9.37,319.92,194.19,87.17,52.34,421.01,38.4,14.62,11.24,448968.53
MSDP01,579.8,580.65,13699.54,66909.84,358670.27,997.73,43897.91,11800.07,5646.41,135.85,128.61,923.22,35478.23,13.38,4.63727638581672,446.18,183.66,81.19,52.69,405.26,34.17,12.73,9.79,460357.28
MSDP01,580.65,581.5,16881.46,67979.19,346659.58,963.78,42058.11,11886.77,5887.56,147.94,91.16,1041.03,37045.92,11.71,4.5759349702086904,438.71,178.84,78.68,55.36,411.3,36.3,9.92,10.42,468012.44
MSDP01,581.5,582.0,20593.84,68472.41,352091.67,1110.08,42748.51,11368.66,5988.44,151.4,318.8,1009.35,57051.65,18.45,5.11196310504491,1694.42,179.85,89.75,50.96,390.56,35.36,37.31,14.08,436428.46
